Venue,Track,Distance,Draw,Wins,Starts,Places,WinRate
沙田,AWT,1200,1,3,41,11,7.3
沙田,AWT,1200,10,6,40,14,15.0
沙田,AWT,1200,11,0,39,5,0.0
沙田,AWT,1200,12,1,38,9,2.6
沙田,AWT,1200,2,6,41,11,14.6
沙田,AWT,1200,3,7,41,16,17.1
沙田,AWT,1200,4,4,41,9,9.8
沙田,AWT,1200,5,3,41,7,7.3
沙田,AWT,1200,6,7,41,15,17.1
沙田,AWT,1200,7,3,40,9,7.5
沙田,AWT,1200,8,1,41,11,2.4
沙田,AWT,1200,9,0,40,6,0.0
沙田,AWT,1650,1,4,29,11,13.8
沙田,AWT,1650,10,2,28,5,7.1
沙田,AWT,1650,11,2,28,6,7.1
沙田,AWT,1650,12,0,27,4,0.0
沙田,AWT,1650,13,2,24,4,8.3
沙田,AWT,1650,14,0,21,0,0.0
沙田,AWT,1650,2,4,29,10,13.8
沙田,AWT,1650,3,3,28,6,10.7
沙田,AWT,1650,4,2,29,6,6.9
沙田,AWT,1650,5,2,29,5,6.9
沙田,AWT,1650,6,3,29,9,10.3
沙田,AWT,1650,7,2,28,8,7.1
沙田,AWT,1650,8,1,28,6,3.6
沙田,AWT,1650,9,2,27,7,7.4
沙田,AWT,1800,1,1,6,2,16.7
沙田,AWT,1800,10,1,6,1,16.7
沙田,AWT,1800,11,0,6,1,0.0
沙田,AWT,1800,12,0,5,0,0.0
沙田,AWT,1800,13,0,5,1,0.0
沙田,AWT,1800,14,0,4,0,0.0
沙田,AWT,1800,2,0,6,2,0.0
沙田,AWT,1800,3,4,6,4,66.7
沙田,AWT,1800,4,0,6,1,0.0
沙田,AWT,1800,5,0,6,3,0.0
沙田,AWT,1800,6,0,6,1,0.0
沙田,AWT,1800,7,0,6,2,0.0
沙田,AWT,1800,8,0,6,0,0.0
沙田,AWT,1800,9,0,6,0,0.0
沙田,Turf,1000,1,1,33,5,3.0
沙田,Turf,1000,10,0,30,3,0.0
沙田,Turf,1000,11,2,29,8,6.9
沙田,Turf,1000,12,1,26,8,3.8
沙田,Turf,1000,13,3,24,10,12.5
沙田,Turf,1000,14,0,23,4,0.0
沙田,Turf,1000,2,4,32,4,12.5
沙田,Turf,1000,3,0,33,5,0.0
沙田,Turf,1000,4,6,32,11,18.8
沙田,Turf,1000,5,2,33,9,6.1
沙田,Turf,1000,6,0,33,7,0.0
沙田,Turf,1000,7,7,32,12,21.9
沙田,Turf,1000,8,3,31,6,9.7
沙田,Turf,1000,9,5,30,7,16.7
沙田,Turf,1200,1,14,121,38,11.6
沙田,Turf,1200,10,6,118,17,5.1
沙田,Turf,1200,11,9,112,27,8.0
沙田,Turf,1200,12,5,103,19,4.9
沙田,Turf,1200,13,3,61,12,4.9
沙田,Turf,1200,14,8,54,11,14.8
沙田,Turf,1200,2,11,121,35,9.1
沙田,Turf,1200,3,12,121,36,9.9
沙田,Turf,1200,4,8,120,26,6.7
沙田,Turf,1200,5,8,120,32,6.7
沙田,Turf,1200,6,11,120,29,9.2
沙田,Turf,1200,7,12,121,31,9.9
沙田,Turf,1200,8,6,118,30,5.1
沙田,Turf,1200,9,8,118,20,6.8
沙田,Turf,1400,1,8,112,29,7.1
沙田,Turf,1400,10,9,110,23,8.2
沙田,Turf,1400,11,5,106,21,4.7
沙田,Turf,1400,12,9,102,19,8.8
沙田,Turf,1400,13,9,97,18,9.3
沙田,Turf,1400,14,4,92,9,4.3
沙田,Turf,1400,2,11,112,33,9.8
沙田,Turf,1400,3,10,111,19,9.0
沙田,Turf,1400,4,9,112,30,8.0
沙田,Turf,1400,5,6,111,24,5.4
沙田,Turf,1400,6,8,112,30,7.1
沙田,Turf,1400,7,5,110,30,4.5
沙田,Turf,1400,8,9,111,30,8.1
沙田,Turf,1400,9,10,111,21,9.0
沙田,Turf,1600,1,4,50,12,8.0
沙田,Turf,1600,10,4,48,12,8.3
沙田,Turf,1600,11,2,46,6,4.3
沙田,Turf,1600,12,5,45,8,11.1
沙田,Turf,1600,13,1,44,7,2.3
沙田,Turf,1600,14,5,41,11,12.2
沙田,Turf,1600,2,3,50,11,6.0
沙田,Turf,1600,3,13,50,20,26.0
沙田,Turf,1600,4,3,50,14,6.0
沙田,Turf,1600,5,0,50,8,0.0
沙田,Turf,1600,6,3,50,11,6.0
沙田,Turf,1600,7,3,50,12,6.0
沙田,Turf,1600,8,0,50,8,0.0
沙田,Turf,1600,9,4,50,10,8.0
沙田,Turf,1800,1,0,20,4,0.0
沙田,Turf,1800,10,2,19,4,10.5
沙田,Turf,1800,11,0,17,2,0.0
沙田,Turf,1800,12,1,17,2,5.9
沙田,Turf,1800,13,1,17,5,5.9
沙田,Turf,1800,14,1,14,1,7.1
沙田,Turf,1800,2,3,20,7,15.0
沙田,Turf,1800,3,0,20,5,0.0
沙田,Turf,1800,4,1,20,6,5.0
沙田,Turf,1800,5,3,20,8,15.0
沙田,Turf,1800,6,2,20,6,10.0
沙田,Turf,1800,7,1,20,2,5.0
沙田,Turf,1800,8,3,19,4,15.8
沙田,Turf,1800,9,2,19,4,10.5
沙田,Turf,2000,1,2,17,5,11.8
沙田,Turf,2000,10,0,12,1,0.0
沙田,Turf,2000,11,3,11,3,27.3
沙田,Turf,2000,12,0,9,1,0.0
沙田,Turf,2000,13,0,8,3,0.0
沙田,Turf,2000,14,0,7,0,0.0
沙田,Turf,2000,2,2,17,7,11.8
沙田,Turf,2000,3,1,17,4,5.9
沙田,Turf,2000,4,2,17,8,11.8
沙田,Turf,2000,5,1,17,4,5.9
沙田,Turf,2000,6,3,17,6,17.6
沙田,Turf,2000,7,2,16,4,12.5
沙田,Turf,2000,8,0,15,1,0.0
沙田,Turf,2000,9,1,14,4,7.1
沙田,Turf,2400,1,0,2,1,0.0
沙田,Turf,2400,10,0,1,0,0.0
沙田,Turf,2400,11,0,1,0,0.0
沙田,Turf,2400,2,1,2,1,50.0
沙田,Turf,2400,3,0,2,0,0.0
沙田,Turf,2400,4,0,2,1,0.0
沙田,Turf,2400,5,0,2,1,0.0
沙田,Turf,2400,6,0,2,1,0.0
沙田,Turf,2400,7,0,2,0,0.0
沙田,Turf,2400,8,1,1,1,100.0
沙田,Turf,2400,9,0,1,0,0.0
跑馬地,Turf,1000,1,2,29,10,6.9
跑馬地,Turf,1000,10,3,28,7,10.7
跑馬地,Turf,1000,11,0,27,5,0.0
跑馬地,Turf,1000,12,3,25,6,12.0
跑馬地,Turf,1000,2,5,29,8,17.2
跑馬地,Turf,1000,3,2,29,6,6.9
跑馬地,Turf,1000,4,4,29,10,13.8
跑馬地,Turf,1000,5,3,29,5,10.3
跑馬地,Turf,1000,6,1,29,10,3.4
跑馬地,Turf,1000,7,4,29,7,13.8
跑馬地,Turf,1000,8,0,28,9,0.0
跑馬地,Turf,1000,9,2,28,4,7.1
跑馬地,Turf,1200,1,22,114,39,19.3
跑馬地,Turf,1200,10,4,116,24,3.4
跑馬地,Turf,1200,11,7,111,14,6.3
跑馬地,Turf,1200,12,7,110,18,6.4
跑馬地,Turf,1200,2,10,115,36,8.7
跑馬地,Turf,1200,3,7,114,30,6.1
跑馬地,Turf,1200,4,11,115,29,9.6
跑馬地,Turf,1200,5,13,115,41,11.3
跑馬地,Turf,1200,6,9,116,31,7.8
跑馬地,Turf,1200,7,9,114,32,7.9
跑馬地,Turf,1200,8,7,116,25,6.0
跑馬地,Turf,1200,9,10,115,29,8.7
跑馬地,Turf,1650,1,11,76,25,14.5
跑馬地,Turf,1650,10,3,73,10,4.1
跑馬地,Turf,1650,11,2,73,8,2.7
跑馬地,Turf,1650,12,1,67,14,1.5
跑馬地,Turf,1650,2,11,75,23,14.7
跑馬地,Turf,1650,3,8,76,22,10.5
跑馬地,Turf,1650,4,3,75,23,4.0
跑馬地,Turf,1650,5,4,76,19,5.3
跑馬地,Turf,1650,6,10,76,20,13.2
跑馬地,Turf,1650,7,13,76,29,17.1
跑馬地,Turf,1650,8,4,76,15,5.3
跑馬地,Turf,1650,9,8,75,21,10.7
跑馬地,Turf,1800,1,3,21,6,14.3
跑馬地,Turf,1800,10,4,21,7,19.0
跑馬地,Turf,1800,11,1,20,5,5.0
跑馬地,Turf,1800,12,0,19,3,0.0
跑馬地,Turf,1800,2,1,22,7,4.5
跑馬地,Turf,1800,3,2,22,8,9.1
跑馬地,Turf,1800,4,3,22,9,13.6
跑馬地,Turf,1800,5,1,22,5,4.5
跑馬地,Turf,1800,6,2,22,4,9.1
跑馬地,Turf,1800,7,2,22,4,9.1
跑馬地,Turf,1800,8,0,21,3,0.0
跑馬地,Turf,1800,9,3,21,6,14.3
跑馬地,Turf,2200,1,2,7,5,28.6
跑馬地,Turf,2200,10,0,6,0,0.0
跑馬地,Turf,2200,11,0,6,2,0.0
跑馬地,Turf,2200,12,1,6,2,16.7
跑馬地,Turf,2200,2,0,7,1,0.0
跑馬地,Turf,2200,3,0,7,0,0.0
跑馬地,Turf,2200,4,1,7,3,14.3
跑馬地,Turf,2200,5,1,7,2,14.3
跑馬地,Turf,2200,6,1,7,1,14.3
跑馬地,Turf,2200,7,1,7,2,14.3
跑馬地,Turf,2200,8,0,6,2,0.0
跑馬地,Turf,2200,9,0,6,1,0.0
